Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 41 698 32 274 541 278 218 755 227 166 147 234 173
1 -1 11 162 13 171 433 321 181 142 110 112 114 113 107
2 -1 11 168 6 340 270 266 273 209 129 135 130 176 132
3 -1 10 165 5 155 142 164 142 163 179 175 193 240 199
4 -1 9 145 11 135 133 130 141 180 129 120 127 124 131
5 -1 9 178 11 172 160 148 157 153 154 143 152 186 144
6 -1 9 169 9 142 168 168 192 240 152 171 228 148 153
7 -1 16 150 12 140 181 124 136 170 254 239 191 234 619
8 -1 20 250 23 194 163 132 118 185 135 123 130 167 189
9 -1 31 309 21 212 149 133 111 169 171 152 134 144 93
10 -1 10 112 9 104 87 85 79 81 86 129 104 124 105
11 -1 8 138 6 162 138 124 125 123 117 128 145 139 178
12 -1 10 181 8 154 158 127 261 134 104 99 90 89 84
13 -1 7 91 6 98 81 127 81 71 83 69 66 68 69
14 -1 7 97 6 85 106 116 84 98 82 80 86 84 89
15 -1 7 109 5 89 85 73 72 76 71 90 114 79 106
16 -1 11 142 7 129 128 112 104 109 109 109 100 131 120
17 -1 9 121 8 141 111 103 98 98 96 94 91 93 97
18 -1 5 94 5 111 1949 267 137 183 83 71 67 69 68
19 -1 18 204 23 159 138 126 95 82 82 86 110 80 100
20 -1 8 87 5 84 108 94 102 106 72 71 72 70 69
21 -1 7 96 8 97 84 61 79 70 116 133 155 120 121
22 -1 14 115 5 74 94 142 130 111 74 70 64 65 130
23 -1 21 176 13 410 82 62 78 96 83 88 75 73 77
24 -1 7 75 5 70 104 90 59 53 50 50 53 51 54
25 -1 13 68 4 55 60 59 55 57 66 76 73 73 73
26 -1 20 99 5 119 115 103 92 73 82 112 118 121 76
27 -1 12 141 9 124 106 139 183 163 167 151 157 152 219
28 -1 14 217 9 168 181 166 148 194 175 157 154 160 211
29 -1 16 215 9 198 264 174 168 145 117 132 109 100 95
30 -1 16 170 9 140 124 125 137 120 173 146 144 169 157
31 -1 14 172 8 145 156 1076 150 118 102 83 78 80 82
32 -1 11 116 7 115 95 116 119 125 126 118 118 991 225
33 -1 12 181 7 129 124 109 107 109 117 98 108 102 95
34 -1 10 97 6 71 125 88 70 66 66 74 66 75 95
35 -1 16 131 7 85 122 78 84 83 76 73 75 77 77
36 -1 9 107 5 73 72 68 66 68 64 66 66 66 67
37 -1 5 87 4 92 73 75 75 76 68 118 118 77 70
38 -1 6 81 4 72 67 65 68 64 67 68 67 67 71
39 -1 8 83 9 74 73 75 70 73 69 71 74 77 72
40 -1 4 79 4 67 68 63 67 65 76 77 69 66 70
41 -1 5 77 4 78 158 139 1343 256 144 143 137 130 149
42 -1 18 1326 60 211 98 98 110 101 148 95 90 70 66
43 -1 14 121 7 112 104 102 102 102 94 73 67 78 73
44 -1 12 156 6 100 107 77 71 71 60 55 59 57 52
45 -1 11 110 6 118 100 90 94 60 55 59 54 55 53
46 -1 9 113 6 94 103 142 118 91 71 61 54 58 54
47 -1 9 134 7 161 122 80 71 82 64 86 70 62 67
48 -1 9 156 6 141 98 110 73 66 65 90 70 65 63
49 -1 8 89 6 112 116 93 83 98 88 82 68 65 65
