Attempt Distance Time RemoteSearcher RemoteNodes RemoteSearcherNodes Transitive1 Transitive2 Transitive3 Transitive4 Transitive5 Transitive6 Transitive7 Transitive8 Transitive9
0 -1 103 11158 59 11300 11225 10962 10746 13192 10632 10791 11405 10927 11036
1 -1 26 11004 29 11339 10918 10838 10506 11327 11086 10992 11093 11130 10588
2 -1 17 11046 44 11064 11115 10751 11165 10903 10984 10867 11171 11179 11270
3 -1 21 10811 26 10835 11235 10742 11046 11094 10866 10973 11387 10915 10728
4 -1 20 10773 21 11049 10911 10958 11086 11018 10917 11145 11322 10787 11246
5 -1 33 11104 18 10924 11053 11032 10963 10874 11123 11224 11087 11152 10825
6 -1 20 11563 30 11312 15366 15467 10718 10538 10516 10868 10754 10814 10591
7 -1 37 11088 30 10592 10579 10458 10689 10971 10555 10478 10710 10474 10808
8 -1 15 10774 31 10831 10653 10647 10362 10582 10695 10413 10801 10560 10421
9 -1 25 10491 39 10888 10515 10601 10610 11443 10803 10494 10483 10461 10461
10 -1 24 10381 33 10704 10615 10458 10587 10580 10412 10933 11119 10985 10426
11 -1 14 10564 33 10563 10564 11003 10959 10992 10621 11008 10916 11394 11232
12 -1 23 10667 27 10545 10506 11052 10809 10450 11007 10515 10938 10526 10603
13 -1 16 10512 19 10801 10626 10543 10775 10580 10944 10614 10653 10531 10767
14 -1 19 10619 22 10721 10961 11274 10988 11608 10360 10497 10934 10932 11828
15 -1 19 10904 18 11370 10920 10582 10811 10612 11614 10502 11011 10421 10739
16 -1 24 11011 16 10619 10728 10889 10573 10705 10435 10976 11386 10324 10691
17 -1 21 10938 45 10975 10907 11267 11035 10451 12003 10864 10933 10706 11004
18 -1 16 11069 22 10609 10516 10990 11155 10951 10562 11233 11087 11360 10863
19 -1 20 10857 24 10940 10941 10629 10982 11285 10950 10959 10555 10957 10972
20 -1 23 10917 17 10734 10655 10919 10743 10711 10433 10884 11018 10699 10875
21 -1 19 10682 13 10486 10902 10279 10207 10848 10803 10959 11028 11055 12000
22 -1 18 10420 34 10994 10478 10826 10912 11095 10904 11230 10746 10586 10932
23 -1 23 11661 32 10606 14241 14007 15270 11327 10475 10401 10557 10467 10531
24 -1 18 10716 29 11100 10592 10593 10471 10432 10468 10922 10907 10679 10659
25 -1 28 10830 61 10797 10484 10974 10705 10987 10530 10401 10482 10605 11063
26 -1 23 10384 27 10795 10869 11041 10920 10850 10488 10805 10426 10616 10844
27 -1 21 10485 46 11609 10513 10860 10560 10326 10434 10504 10626 10788 11006
28 -1 16 10504 18 10434 10496 10689 10477 10426 10530 10353 10527 10462 10615
29 -1 25 10580 23 10456 10855 10548 10366 10373 10443 10564 10625 10375 10437
30 -1 15 10483 25 10500 10491 10488 10354 10335 10571 11156 10404 11355 10650
31 -1 13 10502 18 10982 11080 10845 10374 10638 11183 10449 10585 11076 10736
32 -1 16 10882 19 10414 10938 10775 10538 10573 10536 10413 11410 10887 10601
33 -1 18 10941 16 11007 10945 11126 10941 10906 10500 10831 10865 10437 10861
34 -1 18 10963 21 10775 10987 11008 10566 10446 11101 11118 10421 11269 10960
35 -1 31 10800 24 10469 10956 10841 10692 11232 11088 10439 10741 10846 10374
36 -1 15 10991 42 10529 10440 10466 11077 11029 10518 10785 10874 10415 10430
37 -1 16 10944 22 11012 10510 10648 10948 10882 11114 10962 10908 10508 10792
38 -1 14 10686 25 10495 10851 10969 10835 10928 11235 10897 11091 10922 10886
39 -1 19 10980 21 10399 11032 10403 10561 10951 12078 10881 10911 11874 11381
40 -1 16 10624 21 13377 10804 10936 10597 11261 10524 11259 10507 11650 10458
41 -1 13 10927 25 10854 11140 11108 10775 10805 11126 10911 10721 11105 11325
42 -1 14 10875 27 10826 10456 11006 11012 10704 10638 10952 11099 11002 10722
43 -1 15 10664 17 10486 10872 11439 10502 10522 10403 11001 10841 11009 10499
44 -1 27 10565 18 11030 10746 10803 10884 10770 10847 10950 10933 10980 10728
45 -1 25 10984 19 10959 11008 11485 11117 10861 10835 10480 10748 10822 10861
46 -1 14 10954 23 10632 10435 10796 10498 10922 10243 11005 11113 10793 10448
47 -1 14 10552 21 10640 10781 10513 10770 10588 10430 10332 10886 10439 10380
48 -1 17 10391 33 10435 10662 10682 10505 10432 10387 10427 10524 10375 10644
49 -1 15 10430 25 10466 10459 10622 10316 10342 10281 10400 10573 10362 10479
